business date,sedol,isin,figi,ticker,bbgid,name,offer rate,bid rate,last rate,crowding,short interest,shortinterestnotional,shortinterestpct,s3float,s3sipctfloat,indicativeavailability,s3utilization,daystocover10day,daystocover30day,daystocover90day,original si,close
04/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7424364.43,2.70E+09,0.0196,3.87E+08,0.0192,1.20E+08,0.67,0.552674865,0.552674865,0.689217865,7562311.5,364.75
05/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,7840938.27,2.86E+09,0.0206,3.88E+08,0.0202,1.19E+08,0.41,0.70527155,0.70527155,0.82957854,7623569,373.89
06/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,8417697.39,3.15E+09,0.0222,3.88E+08,0.0217,1.19E+08,0.33,0.813806218,0.813806218,0.926614042,7710024.5,374.28
09/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,8475670.11,3.17E+09,0.0223,3.88E+08,0.0218,1.19E+08,0.35,0.914468818,0.914468818,1.015944587,7713109.5,370.56
10/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,7844211.44,2.91E+09,0.0207,3.88E+08,0.0202,1.19E+08,0.26,1.365040867,0.941277172,1.026675762,7606877,372.995
11/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,8306012.65,3.10E+09,0.0219,3.88E+08,0.0214,1.19E+08,0.3,1.581398218,1.096099753,1.178893419,7476206.5,375.14
12/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.02,9746526.9,3.66E+09,0.0257,3.89E+08,0.025,1.17E+08,0.9,1.971346213,1.383383617,1.472353088,7697286.5,377.17
13/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,8806697.09,3.32E+09,0.0232,3.89E+08,0.0227,1.18E+08,0.32,2.194001301,1.330318991,1.330318991,7543674.5,381.83
17/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,8682223,3.32E+09,0.0229,3.88E+08,0.0224,1.18E+08,0.29,2.364567316,1.894900335,1.894900335,7518666.5,375.43
18/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,9687397.52,3.64E+09,0.0255,3.89E+08,0.0249,1.17E+08,0.27,3.276882141,2.467486153,2.467486153,7671324,373.37
19/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,9542269.05,3.56E+09,0.0251,3.89E+08,0.0245,1.17E+08,0.25,3.276183944,2.673036276,2.673036276,7646558,378.995
20/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,9387588.08,3.56E+09,0.0247,3.89E+08,0.0241,1.18E+08,0.24,3.187258311,2.7224557,2.7224557,7620296.5,383.66
23/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,8334765.3,3.20E+09,0.0219,3.88E+08,0.0215,1.19E+08,0.21,2.702552987,2.73338387,2.73338387,7454898,380.14
24/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,7927316.8,3.01E+09,0.0209,3.88E+08,0.0204,1.19E+08,0.21,2.694060729,2.754731907,2.754731907,7389756,378.59
25/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,6888189.59,2.61E+09,0.0181,3.87E+08,0.0178,1.20E+08,0.23,2.484553877,2.462326896,2.462326896,7227224.5,385.37
26/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6630686.24,2.56E+09,0.0175,3.86E+08,0.0172,1.20E+08,0.14,2.343125349,2.297410099,2.297410099,8349196.5,384.8
27/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6977531.62,2.68E+09,0.0184,3.87E+08,0.018,1.20E+08,0.15,2.481337729,2.425942296,2.425942296,8400646.5,380.16
02/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7193339,2.73E+09,0.0189,3.87E+08,0.0186,1.20E+08,0.21,2.694748092,2.523676641,2.523676641,8431692.5,385.655
03/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,7184058.03,2.77E+09,0.0189,3.87E+08,0.0186,1.20E+08,0.23,2.945905118,2.644352557,2.644352557,8523949.5,384.61
04/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6952151.13,2.67E+09,0.0183,3.87E+08,0.018,1.20E+08,0.21,2.935440763,2.732673579,2.732673579,8568019.5,382.72
05/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,6929401.5,2.65E+09,0.0182,3.87E+08,0.0179,1.20E+08,0.21,2.942797147,2.766297715,2.766297715,8653401.5,387.83
06/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7005461.86,2.72E+09,0.0184,3.87E+08,0.0181,1.20E+08,0.24,2.895698429,2.826020532,2.826020532,8696301.5,380.09
09/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7034331.95,2.67E+09,0.0185,3.87E+08,0.0182,1.20E+08,0.24,2.805413047,2.911784201,2.911784201,8725805,378.56
10/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,6937239.09,2.63E+09,0.0183,3.87E+08,0.0179,1.20E+08,0.2,2.978038353,2.855705241,2.855705241,8643162.5,369.51
11/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,6555361.28,2.42E+09,0.0173,3.86E+08,0.017,1.20E+08,0.27,2.68383185,2.571568951,2.571568951,7460255.5,366.37
12/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6795014.16,2.49E+09,0.0179,3.87E+08,0.0176,1.20E+08,0.51,2.774485306,2.738569031,2.738569031,7516178.5,374.24
13/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6853052.47,2.56E+09,0.018,3.87E+08,0.0177,1.20E+08,0.61,2.705554208,2.748348004,2.748348004,7517823.5,370.58
16/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6608285,2.45E+09,0.0174,3.86E+08,0.0171,1.20E+08,0.44,2.526004338,2.641779654,2.641779654,7470810,373.35
17/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6603092.16,2.47E+09,0.0174,3.86E+08,0.0171,1.20E+08,0.41,2.522964333,2.617223317,2.617223317,7471864.5,371.92
18/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6507983.13,2.42E+09,0.0171,3.86E+08,0.0168,1.20E+08,0.4,2.567955763,2.570309737,2.570309737,7453024.5,375.135
19/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,5903557.36,2.21E+09,0.0155,3.86E+08,0.0153,1.21E+08,0.4,2.315770765,2.295779268,2.295779268,7327332,373.24
20/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6066595.05,2.26E+09,0.016,3.86E+08,0.0157,1.21E+08,0.49,2.426813721,2.432769572,2.432769572,7362567,378.49
23/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,5846037.6,2.21E+09,0.0154,3.86E+08,0.0152,1.21E+08,0.41,2.265781341,2.242137649,2.242137649,7317278,375.11
24/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,5839315.29,2.19E+09,0.0154,3.86E+08,0.0151,1.21E+08,0.42,2.34138853,2.245765252,2.245765252,7316893.5,374.09
25/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,5984501.74,2.24E+09,0.0158,3.86E+08,0.0155,1.21E+08,0.49,2.436695305,2.383438459,2.383438459,6485968,370.96
26/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,5670810.88,2.10E+09,0.0149,3.85E+08,0.0147,1.21E+08,0.5,2.199967832,2.177472366,2.177472366,6420978,367.35
27/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,5802784.8,2.13E+09,0.0153,3.86E+08,0.0151,1.21E+08,0.5,2.19000531,2.217931319,2.217931319,6449847.5,370.56
30/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.03,7280520.36,2.70E+09,0.0192,3.87E+08,0.0188,1.20E+08,1.53,2.675413699,2.782949065,2.782949065,6762759.5,374.59
31/03/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.03,5939081.64,2.22E+09,0.0156,3.86E+08,0.0154,1.21E+08,0.38,2.335504944,2.317415471,2.317415471,6480825.5,372.1
01/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,5981195,2.23E+09,0.0158,3.86E+08,0.0155,1.21E+08,0.57,2.386633612,2.575144317,2.300418916,6490877,370.255
02/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,6427150.07,2.38E+09,0.0169,3.87E+08,0.0166,1.21E+08,0.4,2.589390744,2.589390744,2.490376055,6564863.5,372.25
06/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,6500645.07,2.42E+09,0.0171,3.88E+08,0.0168,1.20E+08,0.46,2.851370219,2.851370219,2.628703757,6638358.5,377.04
07/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6982792.7,2.63E+09,0.0183,3.88E+08,0.018,1.20E+08,0.48,2.824124841,2.824124841,2.847543895,6659329.5,374.41
08/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7130608.67,2.67E+09,0.0187,3.88E+08,0.0184,1.20E+08,0.43,3.009938987,3.009938987,2.934398407,6679107.5,381.2
09/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7335466.37,2.80E+09,0.0193,3.88E+08,0.0189,1.20E+08,0.43,3.039234655,3.039234655,2.932466949,6710179.5,383.54
10/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7432857.69,2.85E+09,0.0195,3.88E+08,0.0191,1.20E+08,0.39,3.083465782,3.083465782,3.067310743,6209582.5,382.65
13/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7147926.12,2.74E+09,0.0188,3.88E+08,0.0184,1.20E+08,0.42,2.953467579,2.940415299,2.963620281,6142330.5,382.36
14/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7385100.22,2.82E+09,0.0194,3.88E+08,0.019,1.20E+08,0.51,3.055408774,3.114346726,3.145132019,6179451.5,385.11
15/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,6720792.76,2.59E+09,0.0176,3.88E+08,0.0173,1.20E+08,0.51,2.753468576,2.809059469,2.809059469,6038776.5,383.45
16/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6601290,2.53E+09,0.0173,3.88E+08,0.017,1.20E+08,0.39,2.776691621,2.826799849,2.826799849,6006479,386.04
17/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6585743.85,2.54E+09,0.0173,3.88E+08,0.017,1.20E+08,0.41,2.91907425,2.866501348,2.866501348,6048300.5,375.56
20/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,6511807.2,2.45E+09,0.0171,3.88E+08,0.0168,1.20E+08,0.39,2.613396219,2.611069869,2.611069869,5978150.5,389.51
21/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,6327516.47,2.46E+09,0.0166,3.87E+08,0.0163,1.21E+08,0.41,2.188506994,2.351828315,2.351828315,6042374,391.18
22/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.03,6293870.8,2.46E+09,0.0165,3.87E+08,0.0162,1.21E+08,0.38,2.003413831,2.126789823,2.126789823,6071947.5,389.8
23/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6725639.46,2.62E+09,0.0177,3.88E+08,0.0173,1.20E+08,0.39,2.112843535,2.21008553,2.21008553,6102122.5,389.99
24/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6231875.95,2.43E+09,0.0164,3.87E+08,0.0161,1.21E+08,0.42,1.58012711,1.730151983,1.730151983,6040264,445.1
27/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6164132.34,2.74E+09,0.0162,3.87E+08,0.0159,1.21E+08,0.47,1.06866388,1.217663633,1.217663633,6654453.5,438.56
28/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.02,6338332.87,2.78E+09,0.0166,3.87E+08,0.0164,1.21E+08,0.43,0.869809224,1.170316813,1.170316813,6677392.5,429.31
29/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6144364.38,2.64E+09,0.0161,3.87E+08,0.0159,1.21E+08,0.46,0.898623389,1.102800304,1.102800304,6622115.5,429.37
